country,country_name,type,level,2016,2017,2018
BE,Belgium,Conventional thermal,Level 1,30728,31316,30092.635
BE,Belgium,Nuclear,Level 1,41430,40128.5,26995.628
BE,Belgium,Hydro,Level 1,1476,1360.9,1239.248
BE,Belgium,Pumped hydro power,Level 2,1110,1093.2,983.19
BE,Belgium,Wind,Level 1,5340,6387.9,7177.346
BE,Belgium,Solar,Level 1,3070,3264.3,3488.979
BE,Belgium,Geothermal,Level 1,0,0,0
BE,Belgium,Other,Level 1,476,490.9,218.509
BE,Belgium,Total Renewable,Level 1,51316,51141.6,38901.201
BE,Belgium,% Renewable,Level 1,61.36075571,60.85264815,55.41834107
BG,Bulgaria,Conventional thermal,Level 1,18909,20234.209,19334
BG,Bulgaria,Nuclear,Level 1,14932,14718.368,15290
BG,Bulgaria,Hydro,Level 1,4535,3458.015,4690
BG,Bulgaria,Pumped hydro power,Level 2,619,603.713,987
BG,Bulgaria,Wind,Level 1,1425,1504.063,1326
BG,Bulgaria,Solar,Level 1,1386,1402.766,1043
BG,Bulgaria,Geothermal,Level 1,0,0,0
BG,Bulgaria,Other,Level 1,34,33.882,22
BG,Bulgaria,Total Renewable,Level 1,22278,21083.212,22349
BG,Bulgaria,% Renewable,Level 1,53.2456979,50.25194604,52.3493863
CZ,Czechia,Conventional thermal,Level 1,47817,47246.628,48042.915
CZ,Czechia,Nuclear,Level 1,22727,26785.6,28255.421
CZ,Czechia,Hydro,Level 1,3169,3007.403,2650.153
CZ,Czechia,Pumped hydro power,Level 2,1186,1155.492,1037.317
CZ,Czechia,Wind,Level 1,488,581.917,600.67
CZ,Czechia,Solar,Level 1,2110,2168.74,2317.645
CZ,Czechia,Geothermal,Level 1,0,0,0
CZ,Czechia,Other,Level 1,87,95.478,100.826
CZ,Czechia,Total Renewable,Level 1,28494,32543.66,33823.889
CZ,Czechia,% Renewable,Level 1,36.72664467,40.15690378,40.74924474
DK,Denmark,Conventional thermal,Level 1,15533.149,14104.326,14072.337
DK,Denmark,Nuclear,Level 1,0,0,0
DK,Denmark,Hydro,Level 1,19.272,17.871,14.929
DK,Denmark,Pumped hydro power,Level 2,0,0,0
DK,Denmark,Wind,Level 1,12781.731,14780,13898.806
DK,Denmark,Solar,Level 1,743.78,751.485,952.973
DK,Denmark,Geothermal,Level 1,0,0,0
DK,Denmark,Other,Level 1,0,0,0.044
DK,Denmark,Total Renewable,Level 1,13544.783,15549.356,14866.708
DK,Denmark,% Renewable,Level 1,46.58097075,52.43651025,51.3724119
DE,Germany,Conventional thermal,Level 1,390141,376128,320437.701
DE,Germany,Nuclear,Level 1,80038,72155,72274.133
DE,Germany,Hydro,Level 1,25690,25888,20041.878
DE,Germany,Pumped hydro power,Level 2,5451,5910,6661.083
DE,Germany,Wind,Level 1,78218,103707,112174
DE,Germany,Solar,Level 1,38098,39401,46184
DE,Germany,Geothermal,Level 1,165,157,165.25
DE,Germany,Other,Level 1,1805,1623,522.751
DE,Germany,Total Renewable,Level 1,222209,241308,250839.261
DE,Germany,% Renewable,Level 1,35.86295162,38.61119512,43.36322578
EE,Estonia,Conventional thermal,Level 1,9795,10485,10170.043
EE,Estonia,Nuclear,Level 1,0,0,0
EE,Estonia,Hydro,Level 1,35,26,18.2
EE,Estonia,Pumped hydro power,Level 2,0,0,0
EE,Estonia,Wind,Level 1,594,723,645.9
EE,Estonia,Solar,Level 1,0,0,0
EE,Estonia,Geothermal,Level 1,0,0,0
EE,Estonia,Other,Level 1,0,0,0
EE,Estonia,Total Renewable,Level 1,629,749,664.1
EE,Estonia,% Renewable,Level 1,6.034151957,6.667260103,6.129695722
IE,Ireland,Conventional thermal,Level 1,22571.711,21745.666,19963.734
IE,Ireland,Nuclear,Level 1,0,0,0
IE,Ireland,Hydro,Level 1,962.861,885.765,921.979
IE,Ireland,Pumped hydro power,Level 2,288.676,201.184,234.936
IE,Ireland,Wind,Level 1,6148.508,7444.742,8349.172
IE,Ireland,Solar,Level 1,6.16,10.801,0
IE,Ireland,Geothermal,Level 1,0,0,0
IE,Ireland,Other,Level 1,0,0,0
IE,Ireland,Total Renewable,Level 1,7117.529,8341.308,9271.151
IE,Ireland,% Renewable,Level 1,23.74257437,27.53983256,31.45981443
EL,Greece,Conventional thermal,Level 1,35586,37021.751,34803.244
EL,Greece,Nuclear,Level 1,0,0,0
EL,Greece,Hydro,Level 1,5565,4039,5802.417
EL,Greece,Pumped hydro power,Level 2,22,77.259,636.1
EL,Greece,Wind,Level 1,5146,5536.987,6300.26
EL,Greece,Solar,Level 1,3930,3991.477,3792.038
EL,Greece,Geothermal,Level 1,0,0,0
EL,Greece,Other,Level 1,0,0,10.99
EL,Greece,Total Renewable,Level 1,14641,13567.464,15894.715
EL,Greece,% Renewable,Level 1,29.13689825,26.7779913,30.95666536
ES,Spain,Conventional thermal,Level 1,108210,126885,110084.238
ES,Spain,Nuclear,Level 1,56100,55540,53270.8
ES,Spain,Hydro,Level 1,39180,20708,36083.636
ES,Spain,Pumped hydro power,Level 2,3410,2249,2009.408
ES,Spain,Wind,Level 1,47712,47929,49495.207
ES,Spain,Solar,Level 1,13051,13778,12137.315
ES,Spain,Geothermal,Level 1,0,0,0
ES,Spain,Other,Level 1,91,78,0
ES,Spain,Total Renewable,Level 1,156043,137955,150986.958
ES,Spain,% Renewable,Level 1,58.27849444,51.6362425,57.39190032
FR,France,Conventional thermal,Level 1,60607.854,68922.949,53956.44
FR,France,Nuclear,Level 1,384008.125,379093.955,393153.254
FR,France,Hydro,Level 1,64879.956,54432.864,68706.552
FR,France,Pumped hydro power,Level 2,4786.979,5070.791,9082.043
FR,France,Wind,Level 1,21472.916,24710.749,26134.02
FR,France,Solar,Level 1,8657.27,9572.843,9651.478
