"country","country_name","type","level","2016","2017","2018"
"PT","Portugal","Total net production","Total",58862.052,57668.978,58085
"PT","Portugal","Imports","Total",4616,5505.732,5668
"PT","Portugal","Exports","Total",9701,8189.704,8326
"PT","Portugal","Energy absorbed by pumping","Total",1520,2223.899,1565
"PT","Portugal","Energy supplied","Total",52257.052,52761.107,53862
"RO","Romania","Total net production","Total",60256,59355.43,58722
"RO","Romania","Imports","Total",4177,4841.754,3695
"RO","Romania","Exports","Total",9194,7735.38,6239
"RO","Romania","Energy absorbed by pumping","Total",660,466.424,0
"RO","Romania","Energy supplied","Total",54579,55995.38,56178
"SI","Slovenia","Total net production","Total",15546,15396.876,15284.254
"SI","Slovenia","Imports","Total",8359,9132.532,8930.238
"SI","Slovenia","Exports","Total",9535,9648.192,9432.404
"SI","Slovenia","Energy absorbed by pumping","Total",373,365.3,252.435
"SI","Slovenia","Energy supplied","Total",13997,14515.916,14529.653
"SK","Slovakia","Total net production","Total",24997,25692,23717
"SK","Slovakia","Imports","Total",13249,15563,12427
"SK","Slovakia","Exports","Total",10598,12535,8746
"SK","Slovakia","Energy absorbed by pumping","Total",334,418,401
"SK","Slovakia","Energy supplied","Total",27314,28302,26997
"FI","Finland","Total net production","Total",66200,65038,67423.674
"FI","Finland","Imports","Total",22110,22204,22548
"FI","Finland","Exports","Total",3159,1779,2611
"FI","Finland","Energy absorbed by pumping","Total",0,0,0
"FI","Finland","Energy supplied","Total",85151,85463,87360.674
"SE","Sweden","Total net production","Total",152531,160526,158287.088
"SE","Sweden","Imports","Total",14287,11896,14441.815
"SE","Sweden","Exports","Total",26022,30888,31671.103
"SE","Sweden","Energy absorbed by pumping","Total",170,36,56.301
"SE","Sweden","Energy supplied","Total",140626,141498,141001.499
"UK",NA,"Total net production","Total",324274.434,323439.536,317375.629
"UK",NA,"Imports","Total",20017.923,18166.98,21332.415
"UK",NA,"Exports","Total",2272.866,3407.049,2224.764
"UK",NA,"Energy absorbed by pumping","Total",4014.34,3859.19,3390.866
"UK",NA,"Energy supplied","Total",338005.151,334340.277,333092.414
"NO","Norway","Total net production","Total",149067,148642,146845.187
"NO","Norway","Imports","Total",5740,6111,8339.724
"NO","Norway","Exports","Total",22151,21276,18488.911
"NO","Norway","Energy absorbed by pumping","Total",1427,1653,1021.492
"NO","Norway","Energy supplied","Total",131229,131824,135674.508
"ME","Montenegro","Total net production","Total",3023,2363.8,3743
"ME","Montenegro","Imports","Total",1210,1536.9,7106
"ME","Montenegro","Exports","Total",906,416.7,868
"ME","Montenegro","Energy absorbed by pumping","Total",0,0,0
"ME","Montenegro","Energy supplied","Total",3327,3484,9981
"MK","North Macedonia","Total net production","Total",5284.253,5226.865,5203.736
"MK","North Macedonia","Imports","Total",2190.606,2293.571,7261.253
"MK","North Macedonia","Exports","Total",159.853,311.026,5341.489
"MK","North Macedonia","Energy absorbed by pumping","Total",0,0,0
"MK","North Macedonia","Energy supplied","Total",7315.006,7209.41,7123.5
"AL","Albania","Total net production","Total",7136,4497.807,8596.537
