Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,18.63956362,20.04076676,20.0293291,24.09625356,22.48077302,24.78407699,19.63531243,19.58225214,18.2151238,18.35683119,17.99882546,21.83240645,20.82111437,17.71591809,18.9646998,19.95678115,19.72065138,15.93826906,16.18061869,16.95552883,13.58968436,13.77191609,13.02136707,11.49767336,10.83907304,11.41734916,11.56699156,10.33811577,10.33884333,9.827851131,9.169923584,10.10694026,9.645815266,10.13195619,9.783512493,9.192442348,8.691580877,9.042765842,7.887949379,7.957196246,7.795524721,7.385459167,6.982645639,7.377621427,7.0591947,6.704270255,6.843211144,5.901333037,4.899351224,4.757048711,5.344130837,6.599266661,5.585644424,7.279435624,7.405826056,5.296183545,,,,,
Austria,AUT,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,73.55912447,69.29357912,67.09916589,63.671503,63.89223965,71.81951309,72.43167425,72.06564987,70.31736645,62.87355879,70.21939328,57.50301397,57.99481417,60.64820805,66.41820087,67.19434346,57.4697135,65.67456065,65.02640868,68.65935269,69.05048077,73.01756379,73.15259856,72.92004193,69.29169767,70.73064789,70.75744139,72.51449042,74.364992,71.78720374,63.91796495,62.65917379,69.78113298,71.45276518,68.5229606,67.17713581,63.86680106,64.83792763,66.4693257,67.92676414,69.87340081,66.24690913,66.26527856,57.17162676,59.3433202,57.52322173,57.24560897,58.79254264,59.39964977,61.66837566,56.47098655,54.98940134,63.75345656,65.13245546,66.55738769,59.99708563,,,,,
Azerbaijan,AZE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.161368348,7.496801706,8.83975105,12.73423967,10.40919697,9.129312368,9.000994908,10.16868615,10.84009334,8.285651408,8.203647254,6.858197153,10.80156141,11.59917317,12.67016188,13.15582371,10.25954447,10.82070765,10.31280322,12.23235107,18.41795831,13.1861634,7.921524274,6.375781451,5.257198318,6.630751782,,,,,
Burundi,BDI,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1.135163675,1.179112858,0.929039612,0.76546885,0.559583475,1.269071059,1.320204875,1.004600903,0.922146636,0.788616492,0.805949612,0.403165147,0.485698867,0.421026714,0.567188165,0.448331618,0.231309552,0.477927841,0.44106885,0.45082362,0.52362924,0.761223552,0.666293169,0.647785768,0.653753027,0.5101406,0.595269086,0.688305229,0.556235571,0.456061127,0.378421442,0.321692468,0.477524156,0.362504995,0.484994603,0.459763861,0.318081397,0.391723713,0.473956747,0.409039656,0.555736774,0.560940243,0.444779402,0.295592441,0.375801691,0.336020721,0.425617679,0.444429211,0.490530371,0.365231722,0.332505622,0.220190082,0.437387437,0.462489655,0.408380185,0.457238166,,,,,
Benin,BEN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,2.53164557,2.777777778,2.380952381,3.03030303,3.174603175,2.5,1.234567901,0.934579439,0,0,0,0,0,0,0,0,0,4.093567251,,,,,
Burkina Faso,BFA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,16.99029126,16.99029126,23.57549858,15.68754035,26.79778734,27.92538157,22.59565667,22.80306444,24.43796836,24.77688058,23.47858753,17.22661397,19.28342558,22.6172466,16.32067138,9.375,9.253624485,10.31952301,12.93042867,11.43300569,10.13301088,8.949853834,6.604388442,8.656991006,3.442531927,6.440648423,6.063417102,6.714795839,5.764705882,4.749223258,5.709521619,4.012858291,3.799715909,3.034477171,2.832079253,2.536317768,2.415739397,2.776316559,1.121661242,1.787202746,1.974950739,1.600016474,1.682981928,1.052914316,0.959143211,,,,,
Bulgaria,BGR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,10.32546631,9.40685196,11.70522864,9.12040691,9.719855767,10.64619599,11.8781555,9.237266607,10.22923875,10.65882015,9.785783836,7.538495761,7.857343838,7.297636103,5.370868563,5.56193209,5.838106411,5.766197996,6.070655116,4.456467573,5.973765357,5.793316484,5.11092981,3.849684001,5.537342363,6.83350501,6.461603435,7.465708845,7.241116284,6.57629287,3.989984839,5.202874149,7.156019656,7.647371216,9.863094697,9.313876313,6.693527727,6.334110892,8.18763125,10.98941695,5.831317594,6.92586788,9.473170958,9.813113986,11.61421361,,,,,
Bahrain,BHR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"Bahamas, The",BHS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89939858,37.27239753,52.22988506,71.14517583,81.50329877,82.77664167,70.24523161,53.10895608,50.20381183,54.48099271,48.84456803,48.70276368,48.84561892,39.95206817,46.97517285,47.59561974,44.00781426,33.95281738,32.83410915,39.82001532,46.86989021,28.71073298,29.93182787,41.46467251,36.72648515,35.51730757,,,,,
Belarus,BLR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050599605,0.046469601,0.045218779,0.056939075,0.060515336,0.080263264,0.067430883,0.080592547,0.119189511,0.07165485,0.103444312,0.11969836,0.109615966,0.10515642,0.105735341,0.116275314,0.110024834,0.109962613,0.111275964,0.144851198,0.128958303,0.130434783,0.227280106,0.437997905,0.348351807,0.313948712,,,,,
Belize,BLZ,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
