Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,26.44087553,30.70642088,32.90083411,36.328497,36.10776035,28.18048691,27.56832575,27.93435013,29.68263355,37.12644121,29.17118093,41.67080349,41.27571305,38.69840859,32.94417003,32.18160479,41.80111385,33.59408487,34.1720413,30.51720278,30.17067308,25.77522132,25.68485853,25.65281616,28.71852723,27.06552055,26.25008527,25.58364193,23.35250992,25.89156749,33.68833171,34.83987964,27.46951281,25.81417531,29.08407054,29.36315198,32.75656102,31.81108018,30.01967448,29.04399493,27.21047533,30.45343639,30.590057,38.79202024,35.32317428,35.90801247,33.81177151,30.61007537,30.02680965,27.91784788,32.86866665,33.38097379,24.30213943,20.83501162,17.72104648,22.22204232,,,,,
Azerbaijan,AZE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.83863165,92.50319829,91.16024895,87.26576033,89.59080303,90.87068763,90.99900509,89.83131385,89.15990666,91.71434859,91.79635275,93.14180285,89.19843859,88.40082683,87.32983812,86.84417629,89.74045553,89.17929235,89.68719678,87.75704897,81.57669695,86.8138366,92.07847573,93.04187719,94.01892591,92.59154245,,,,,
Burundi,BDI,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,98.86483633,98.82088714,99.04816187,98.98469062,99.19225342,98.73092894,98.65330272,98.59862395,98.8473167,99.13595063,99.00730597,99.59683485,99.48461954,99.10624154,98.82781113,82.72820814,78.35027481,73.52194414,74.29537768,76.96561025,75.27452864,72.96557511,67.46768578,52.45522374,47.24529708,37.42867808,30.20947224,31.11492612,31.7286686,36.94394186,37.80515564,38.32354676,37.43873407,38.54113147,41.32125986,41.85619457,40.59996274,37.55538716,42.04203472,39.33737975,39.63128073,38.42377064,38.91819766,40.95690573,41.0584093,40.93152411,39.85275288,39.44794809,38.62866851,39.80469011,40.2640862,35.02258072,35.95153208,31.93612774,33.47738525,39.21464312,,,,,
Benin,BEN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.61016949,97.46835443,97.22222222,97.61904762,96.96969697,96.82539683,97.5,98.7654321,99.06542056,97.4025974,98.63636364,98.68995633,99.21875,99.13043478,100,100,100,100,94.44444444,,,,,
Burkina Faso,BFA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,83.00970874,83.00970874,76.42450142,84.31245965,73.20221266,72.07461843,77.40434333,77.19693556,75.56203164,75.22311942,76.52141247,82.77338603,80.71657442,77.3827534,83.67932862,90.625,90.74637551,89.68047699,87.06957133,88.56699431,89.86698912,91.05014617,93.39561156,91.34300899,96.55746807,93.55935158,93.9365829,93.28520416,94.23529412,95.25077674,94.29047838,95.98714171,96.20028409,96.96552283,97.16792075,97.46368223,97.5842606,97.22368344,98.87833876,98.21279725,98.02504926,98.39998353,98.05346386,98.68027576,98.7731101,,,,,
Bulgaria,BGR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,89.67453369,90.59314804,88.29477136,86.81048847,80.16008242,71.37348182,68.31706496,71.99606249,70.67782996,71.64346204,65.54960511,65.90128278,63.25970737,64.19457378,63.08848962,65.57627929,65.55563223,58.62819573,61.06975275,60.74369379,61.76153884,61.76635776,58.11511435,55.93580363,53.15752949,50.83575241,51.88991342,51.79230046,51.08761409,48.66407519,51.09569532,46.8163817,52.00576451,51.71389948,47.66669699,47.78691047,59.07958171,57.99614211,55.19454473,54.2538627,59.47464166,54.64265012,50.980984,50.41447354,50.40416889,,,,,
Bahrain,BHR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
"Bahamas, The",BHS,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.10060142,62.72760247,47.77011494,28.85482417,18.49670123,17.22335833,29.75476839,46.89104392,49.79618817,45.51900729,51.15543197,51.29723632,51.15438108,60.04793183,53.02482715,52.40438026,55.99218574,66.04718262,67.16589085,60.17998468,53.13010979,71.28926702,70.06817213,58.53532749,63.27351485,64.48269243,,,,,
