"country_name","year","country","type","GWh","Country Code","Indicator Name","Indicator Code","total population","per_capita_kwh"
"Belgium","2016","BE","Conventional thermal",30728,"BEL","Population, total","SP.POP.TOTL",11331422,2711.75144655278
"Belgium","2016","BE","Total Renewable",51316,"BEL","Population, total","SP.POP.TOTL",11331422,4528.64609578568
"Belgium","2016","BE","Nuclear",41430,"BEL","Population, total","SP.POP.TOTL",11331422,3656.20484348743
"Belgium","2016","BE","Solar",3070,"BEL","Population, total","SP.POP.TOTL",11331422,270.928044158977
"Belgium","2016","BE","Wind",5340,"BEL","Population, total","SP.POP.TOTL",11331422,471.255946517569
"Belgium","2016","BE","Hydro",1476,"BEL","Population, total","SP.POP.TOTL",11331422,130.25726162171
"Belgium","2016","BE","% Renewable",61.36075571,"BEL","Population, total","SP.POP.TOTL",11331422,5.41509756763096
"Belgium","2016","BE","Geothermal",0,"BEL","Population, total","SP.POP.TOTL",11331422,0
"Belgium","2016","BE","Other",476,"BEL","Population, total","SP.POP.TOTL",11331422,42.007084371229
"Belgium","2017","BE","Solar",3264.3,"BEL","Population, total","SP.POP.TOTL",11375158,286.967442562117
"Belgium","2017","BE","Hydro",1360.9,"BEL","Population, total","SP.POP.TOTL",11375158,119.637898656001
"Belgium","2017","BE","Conventional thermal",31316,"BEL","Population, total","SP.POP.TOTL",11375158,2753.01670535038
"Belgium","2017","BE","% Renewable",60.85264815,"BEL","Population, total","SP.POP.TOTL",11375158,5.34960904718862
"Belgium","2017","BE","Wind",6387.9,"BEL","Population, total","SP.POP.TOTL",11375158,561.56582616259
"Belgium","2017","BE","Other",490.9,"BEL","Population, total","SP.POP.TOTL",11375158,43.1554445221772
"Belgium","2017","BE","Nuclear",40128.5,"BEL","Population, total","SP.POP.TOTL",11375158,3527.73121920592
"Belgium","2017","BE","Geothermal",0,"BEL","Population, total","SP.POP.TOTL",11375158,0
"Belgium","2017","BE","Total Renewable",51141.6,"BEL","Population, total","SP.POP.TOTL",11375158,4495.90238658663
"Belgium","2018","BE","Total Renewable",38901.201,"BEL","Population, total","SP.POP.TOTL",11427054,3404.30709437446
"Belgium","2018","BE","Other",218.509,"BEL","Population, total","SP.POP.TOTL",11427054,19.1220764336985
"Belgium","2018","BE","Conventional thermal",30092.635,"BEL","Population, total","SP.POP.TOTL",11427054,2633.45521951677
"Belgium","2018","BE","Solar",3488.979,"BEL","Population, total","SP.POP.TOTL",11427054,305.326202186495
"Belgium","2018","BE","Nuclear",26995.628,"BEL","Population, total","SP.POP.TOTL",11427054,2362.4311217922
"Belgium","2018","BE","Wind",7177.346,"BEL","Population, total","SP.POP.TOTL",11427054,628.101171132997
"Belgium","2018","BE","Geothermal",0,"BEL","Population, total","SP.POP.TOTL",11427054,0
"Belgium","2018","BE","% Renewable",55.41834107,"BEL","Population, total","SP.POP.TOTL",11427054,4.84974876901781
"Belgium","2018","BE","Hydro",1239.248,"BEL","Population, total","SP.POP.TOTL",11427054,108.448599262767
"Bulgaria","2016","BG","Geothermal",0,"BGR","Population, total","SP.POP.TOTL",7127822,0
"Bulgaria","2016","BG","Wind",1425,"BGR","Population, total","SP.POP.TOTL",7127822,199.920817326808
"Bulgaria","2016","BG","Nuclear",14932,"BGR","Population, total","SP.POP.TOTL",7127822,2094.88957496413
"Bulgaria","2016","BG","Conventional thermal",18909,"BGR","Population, total","SP.POP.TOTL",7127822,2652.84402444393
"Bulgaria","2016","BG","% Renewable",53.2456979,"BGR","Population, total","SP.POP.TOTL",7127822,7.47012171459949
"Bulgaria","2016","BG","Hydro",4535,"BGR","Population, total","SP.POP.TOTL",7127822,636.239232685665
"Bulgaria","2016","BG","Other",34,"BGR","Population, total","SP.POP.TOTL",7127822,4.77004055376243
"Bulgaria","2016","BG","Solar",1386,"BGR","Population, total","SP.POP.TOTL",7127822,194.449300221021
"Bulgaria","2016","BG","Total Renewable",22278,"BGR","Population, total","SP.POP.TOTL",7127822,3125.49892519763
"Bulgaria","2017","BG","Conventional thermal",20234.209,"BGR","Population, total","SP.POP.TOTL",7075947,2859.57611044854
"Bulgaria","2017","BG","Hydro",3458.015,"BGR","Population, total","SP.POP.TOTL",7075947,488.699957758304
"Bulgaria","2017","BG","Other",33.882,"BGR","Population, total","SP.POP.TOTL",7075947,4.78833433885245
"Bulgaria","2017","BG","Nuclear",14718.368,"BGR","Population, total","SP.POP.TOTL",7075947,2080.05628080595
"Bulgaria","2017","BG","Wind",1504.063,"BGR","Population, total","SP.POP.TOTL",7075947,212.559958405567
"Bulgaria","2017","BG","Total Renewable",21083.212,"BGR","Population, total","SP.POP.TOTL",7075947,2979.56047437891
"Bulgaria","2017","BG","Solar",1402.766,"BGR","Population, total","SP.POP.TOTL",7075947,198.244277409087
"Bulgaria","2017","BG","% Renewable",50.25194604,"BGR","Population, total","SP.POP.TOTL",7075947,7.10179796993957
"Bulgaria","2017","BG","Geothermal",0,"BGR","Population, total","SP.POP.TOTL",7075947,0
"Bulgaria","2018","BG","Hydro",4690,"BGR","Population, total","SP.POP.TOTL",7025037,667.612142113985
"Bulgaria","2018","BG","Wind",1326,"BGR","Population, total","SP.POP.TOTL",7025037,188.753454252269
"Bulgaria","2018","BG","Total Renewable",22349,"BGR","Population, total","SP.POP.TOTL",7025037,3181.33555737856
"Bulgaria","2018","BG","Solar",1043,"BGR","Population, total","SP.POP.TOTL",7025037,148.468968917886
"Bulgaria","2018","BG","Conventional thermal",19334,"BGR","Population, total","SP.POP.TOTL",7025037,2752.15632316243
"Bulgaria","2018","BG","Other",22,"BGR","Population, total","SP.POP.TOTL",7025037,3.13165610373298
"Bulgaria","2018","BG","Nuclear",15290,"BGR","Population, total","SP.POP.TOTL",7025037,2176.50099209442
