"year","type","GWh","country","country_name"
"1959","Hydro",453810.29750448,"US","United States"
"1959","Natural Gas",1952066.98833149,"US","United States"
"1959","Nuclear",640.946434464,"US","United States"
"1959","Other",396488.233460928,"US","United States"
"1959","Solar",NA,"US","United States"
"1959","Total",12290108.6093236,"US","United States"
"1959","Total Renewable",850298.530965408,"US","United States"
"1959","Wind",NA,"US","United States"
"1960","Coal",3170266.42811066,"US","United States"
"1960","Conventional thermal",11680298.0455488,"US","United States"
"1960","Crude Oil",4376902.45567299,"US","United States"
"1960","Geothermal",105.212514848,"US","United States"
"1960","Hydro",471250.9569992,"US","United States"
"1960","Natural Gas",2066564.43434706,"US","United States"
"1960","Nuclear",1766.046279872,"US","United States"
"1960","Other",386815.71580064,"US","United States"
"1960","Solar",NA,"US","United States"
"1960","Total",12540235.9771434,"US","United States"
"1960","Total Renewable",858171.885314688,"US","United States"
"1960","Wind",NA,"US","United States"
"1961","Coal",3061740.15865155,"US","United States"
"1961","Conventional thermal",11807449.5677757,"US","United States"
"1961","Crude Oil",4456496.16276211,"US","United States"
"1961","Geothermal",293.364143072,"US","United States"
"1961","Hydro",485461.387138336,"US","United States"
"1961","Natural Gas",2144606.47664547,"US","United States"
"1961","Nuclear",5767.052554816,"US","United States"
"1961","Other",379457.287324864,"US","United States"
"1961","Solar",NA,"US","United States"
"1961","Total",12678428.6589368,"US","United States"
"1961","Total Renewable",865212.038606272,"US","United States"
"1961","Wind",NA,"US","United States"
"1962","Coal",3194638.80460032,"US","United States"
"1962","Conventional thermal",12223963.9337285,"US","United States"
"1962","Crude Oil",4549018.70019251,"US","United States"
"1962","Geothermal",310.948407392,"US","United States"
"1962","Hydro",532258.389773152,"US","United States"
"1962","Natural Gas",2240153.21446784,"US","United States"
"1962","Nuclear",7735.317874368,"US","United States"
"1962","Other",381063.316799424,"US","United States"
"1962","Solar",NA,"US","United States"
"1962","Total",13145332.1996539,"US","United States"
"1962","Total Renewable",913632.654979968,"US","United States"
"1962","Wind",NA,"US","United States"
"1963","Coal",3472666.24540349,"US","United States"
"1963","Conventional thermal",12899444.3979616,"US","United States"
"1963","Crude Oil",4679112.0698401,"US","United States"
"1963","Geothermal",515.80508672,"US","United States"
"1963","Hydro",519132.90874256,"US","United States"
"1963","Natural Gas",2373833.04135902,"US","United States"
"1963","Nuclear",11179.782183584,"US","United States"
"1963","Other",387825.638714752,"US","United States"
"1963","Solar",NA,"US","United States"
"1963","Total",13818098.5326892,"US","United States"
"1963","Total Renewable",907474.352544032,"US","United States"
"1963","Wind",NA,"US","United States"
"1964","Coal",3670387.23027043,"US","United States"
"1964","Conventional thermal",13411864.220729,"US","United States"
"1964","Crude Oil",4737074.2011049,"US","United States"
"1964","Geothermal",624.827525504,"US","United States"
"1964","Hydro",552824.066108608,"US","United States"
"1964","Natural Gas",2502201.39467682,"US","United States"
"1964","Nuclear",11669.797015968,"US","United States"
"1964","Other",391777.995191744,"US","United States"
"1964","Solar",NA,"US","United States"
"1964","Total",14368760.9065708,"US","United States"
"1964","Total Renewable",945226.888825856,"US","United States"
"1964","Wind",NA,"US","United States"
"1965","Coal",3826126.37021552,"US","United States"
"1965","Conventional thermal",13834513.1503609,"US","United States"
"1965","Crude Oil",4841938.84059043,"US","United States"
"1965","Geothermal",579.694580416,"US","United States"
"1965","Hydro",603455.903720544,"US","United States"
"1965","Natural Gas",2583223.96977747,"US","United States"
"1965","Nuclear",12650.119751808,"US","United States"
"1965","Other",391179.837133792,"US","United States"
"1965","Solar",NA,"US","United States"
"1965","Total",14842378.7055475,"US","United States"
"1965","Total Renewable",995215.435434752,"US","United States"
"1965","Wind",NA,"US","United States"
"1966","Coal",3946987.12188189,"US","United States"
"1966","Conventional thermal",14656639.3453171,"US","United States"
"1966","Crude Oil",5146628.4221688,"US","United States"
"1966","Geothermal",573.833158976,"US","United States"
"1966","Hydro",604171.583278368,"US","United States"
"1966","Natural Gas",2781511.9006332,"US","United States"
"1966","Nuclear",18802.853837376,"US","United States"
"1966","Other",401209.90150192,"US","United States"
"1966","Solar",NA,"US","United States"
"1966","Total",15681397.5170937,"US","United States"
"1966","Total Renewable",1005955.31793926,"US","United States"
"1966","Wind",NA,"US","United States"
"1967","Coal",4051850.29601206,"US","United States"
"1967","Conventional thermal",15406254.4817812,"US","United States"
"1967","Crude Oil",5466157.65747789,"US","United States"
"1967","Geothermal",967.1345376,"US","United States"
"1967","Hydro",687739.334103808,"US","United States"
"1967","Natural Gas",2944123.41068115,"US","United States"
"1967","Nuclear",25923.894744832,"US","United States"
"1967","Other",392788.211176928,"US","United States"
"1967","Solar",NA,"US","United States"
"1967","Total",16513673.0563444,"US","United States"
"1967","Total Renewable",1081494.67981834,"US","United States"
"1967","Wind",NA,"US","United States"
"1968","Coal",3988309.84996282,"US","United States"
"1968","Conventional thermal",15906218.1978464,"US","United States"
"1968","Crude Oil",5658746.38173197,"US","United States"
"1968","Geothermal",1328.198098304,"US","United States"
"1968","Hydro",688315.218760288,"US","United States"
"1968","Natural Gas",3129580.98307579,"US","United States"
"1968","Nuclear",41479.521104448,"US","United States"
"1968","Other",416012.92134864,"US","United States"
"1968","Solar",NA,"US","United States"
"1968","Total",17053353.764087,"US","United States"
"1968","Total Renewable",1105656.33820723,"US","United States"
"1968","Wind",NA,"US","United States"
"1969","Coal",4062945.67372691,"US","United States"
"1969","Conventional thermal",16485809.0311029,"US","United States"
"1969","Crude Oil",5731343.60311923,"US","United States"
"1969","Geothermal",1882.102424384,"US","United States"
"1969","Hydro",776047.216447776,"US","United States"
"1969","Natural Gas",3345759.87712837,"US","United States"
"1969","Nuclear",45051.471329984,"US","United States"
"1969","Other",422165.069292064,"US","United States"
"1969","Solar",NA,"US","United States"
"1969","Total",17730954.597526,"US","United States"
"1969","Total Renewable",1200094.38816422,"US","United States"
"1969","Wind",NA,"US","United States"
"1970","Coal",4280907.90525261,"US","United States"
"1970","Conventional thermal",17335780.787823,"US","United States"
"1970","Crude Oil",5979004.48479712,"US","United States"
"1970","Geothermal",1615.114677792,"US","United States"
"1970","Hydro",771816.442452384,"US","United States"
"1970","Natural Gas",3537934.34542218,"US","United States"
"1970","Nuclear",70145.681869984,"US","United States"
"1970","Other",419373.567331264,"US","United States"
"1970","Solar",NA,"US","United States"
"1970","Total",18598731.8872255,"US","United States"
"1970","Total Renewable",1192805.41753251,"US","United States"
"1970","Wind",NA,"US","United States"
"1971","Coal",3864295.36049066,"US","United States"
"1971","Conventional thermal",17001249.2443382,"US","United States"
"1971","Crude Oil",5871005.15712547,"US","United States"
"1971","Geothermal",1681.934882208,"US","United States"
"1971","Hydro",827676.961059872,"US","United States"
"1971","Natural Gas",3632974.21682552,"US","United States"
"1971","Nuclear",121020.475400608,"US","United States"
"1971","Other",419772.437060256,"US","United States"
"1971","Solar",NA,"US","United States"
"1971","Total",18371401.0527412,"US","United States"
"1971","Total Renewable",1249131.33300234,"US","United States"
"1971","Wind",NA,"US","United States"
"1972","Coal",4129865.22923632,"US","United States"
"1972","Conventional thermal",17263081.5777027,"US","United States"
"1972","Crude Oil",5873476.62547565,"US","United States"
"1972","Geothermal",4419.218694688,"US","United States"
"1972","Hydro",839315.98561328,"US","United States"
"1972","Natural Gas",3629869.71495982,"US","United States"
"1972","Nuclear",171080.824422144,"US","United States"
"1972","Other",440504.87083568,"US","United States"
"1972","Solar",NA,"US","United States"
"1972","Total",18718402.1841974,"US","United States"
"1972","Total Renewable",1284240.07514365,"US","United States"
"1972","Wind",NA,"US","United States"
"1973","Coal",630874.934355077,"US","United States"
"1973","Conventional thermal",2624485.46854828,"US","United States"
"1973","Crude Oil",878908.286821548,"US","United States"
"1973","Geothermal",920.784220366769,"US","United States"
"1973","Hydro",129016.581441199,"US","United States"
"1973","Natural Gas",557351.101141899,"US","United States"
"1973","Nuclear",41037.9531746585,"US","United States"
"1973","Other",68942.3996801379,"US","United States"
"1973","Solar",NA,"US","United States"
"1973","Total",2864403.05180107,"US","United States"
"1973","Total Renewable",198879.720253846,"US","United States"
"1973","Wind",NA,"US","United States"
"1974","Coal",634586.814745529,"US","United States"
"1974","Conventional thermal",2538193.48684503,"US","United States"
"1974","Crude Oil",837506.632446538,"US","United States"
"1974","Geothermal",1154.72256760862,"US","United States"
"1974","Hydro",143225.185522117,"US","United States"
"1974","Natural Gas",533050.008554517,"US","United States"
"1974","Nuclear",57355.5192336172,"US","United States"
"1974","Other",69420.0604396406,"US","United States"
"1974","Solar",NA,"US","United States"
"1974","Total",2809348.92952015,"US","United States"
"1974","Total Renewable",213799.945985438,"US","United States"
"1974","Wind",NA,"US","United States"
"1975","Coal",675836.117250956,"US","United States"
"1975","Conventional thermal",2466158.1728785,"US","United States"
"1975","Crude Oil",799376.981326836,"US","United States"
"1975","Geothermal",1523.06781725538,"US","United States"
"1975","Hydro",142234.424947328,"US","United States"
"1975","Natural Gas",495472.54842232,"US","United States"
"1975","Nuclear",85657.7984473723,"US","United States"
"1975","Other",67574.6820749711,"US","United States"
"1975","Solar",NA,"US","United States"
"1975","Total",2763148.21379722,"US","United States"
"1975","Total Renewable",211332.219927412,"US","United States"
"1975","Wind",NA,"US","United States"
"1976","Coal",705791.204591148,"US","United States"
"1976","Conventional thermal",2465579.60549452,"US","United States"
"1976","Crude Oil",778299.535267882,"US","United States"
"1976","Geothermal",1691.38078829785,"US","United States"
"1976","Hydro",134193.411400935,"US","United States"
"1976","Natural Gas",490744.444089708,"US","United States"
"1976","Nuclear",95185.8771570215,"US","United States"
"1976","Other",77252.3172070548,"US","United States"
"1976","Solar",NA,"US","United States"
"1976","Total",2773902.65967961,"US","United States"
"1976","Total Renewable",213137.086852359,"US","United States"
"1976","Wind",NA,"US","United States"
"1977","Coal",710347.535459675,"US","United States"
"1977","Conventional thermal",2482584.03997053,"US","United States"
"1977","Crude Oil",786951.601999394,"US","United States"
"1977","Geothermal",1685.49682292923,"US","United States"
"1977","Hydro",105201.378147264,"US","United States"
"1977","Natural Gas",492642.439983766,"US","United States"
"1977","Nuclear",121816.681871446,"US","United States"
"1977","Other",82886.4282148258,"US","United States"
"1977","Solar",NA,"US","United States"
"1977","Total",2794173.93485128,"US","United States"
"1977","Total Renewable",189773.28064109,"US","United States"
"1977","Wind",NA,"US","United States"
"1978","Coal",672251.339530038,"US","United States"
"1978","Conventional thermal",2481215.89403072,"US","United States"
"1978","Crude Oil",831133.892161612,"US","United States"
"1978","Geothermal",1391.00548342646,"US","United States"
"1978","Hydro",132422.270193196,"US","United States"
"1978","Natural Gas",488915.297353642,"US","United States"
"1978","Nuclear",136351.338791929,"US","United States"
"1978","Other",91871.2433327015,"US","United States"
"1978","Solar",NA,"US","United States"
"1978","Total",2843251.75183197,"US","United States"
"1978","Total Renewable",225684.58664111,"US","United States"
"1978","Wind",NA,"US","United States"
"1979","Coal",790822.236735156,"US","United States"
"1979","Conventional thermal",2612938.33304791,"US","United States"
"1979","Crude Oil",816252.419443311,"US","United States"
"1979","Geothermal",1815.25967603938,"US","United States"
"1979","Hydro",132138.284324428,"US","United States"
"1979","Natural Gas",502931.815890793,"US","United States"
"1979","Nuclear",125156.068929386,"US","United States"
"1979","Other",97024.8305020357,"US","United States"
"1979","Solar",NA,"US","United States"
"1979","Total",2969072.9342873,"US","United States"
"1979","Total Renewable",230978.509766075,"US","United States"
"1979","Wind",NA,"US","United States"
"1980","Coal",838531.614704965,"US","United States"
"1980","Conventional thermal",2659260.89870501,"US","United States"
"1980","Crude Oil",822804.586856086,"US","United States"
"1980","Geothermal",2376.08498820431,"US","United States"
"1980","Hydro",130761.256076743,"US","United States"
"1980","Natural Gas",498962.37111591,"US","United States"
"1980","Nuclear",123503.260802949,"US","United States"
"1980","Other",111614.945486912,"US","United States"
"1980","Solar",NA,"US","United States"
"1980","Total",3027516.44605982,"US","United States"
"1980","Total Renewable",244752.309095788,"US","United States"
"1980","Wind",NA,"US","United States"
"1981","Coal",828569.339930183,"US","United States"
"1981","Conventional thermal",2637102.96723538,"US","United States"
"1981","Crude Oil",818165.091434897,"US","United States"
"1981","Geothermal",2679.86442629662,"US","United States"
"1981","Hydro",124350.889974959,"US","United States"
"1981","Natural Gas",495184.279207115,"US","United States"
"1981","Nuclear",135605.811072618,"US","United States"
"1981","Other",117060.814690745,"US","United States"
"1981","Solar",NA,"US","United States"
"1981","Total",3016800.3474,"US","United States"
"1981","Total Renewable",244091.591635929,"US","United States"
"1981","Wind",NA,"US","United States"
"1982","Coal",840381.817470358,"US","United States"
"1982","Conventional thermal",2588760.05978362,"US","United States"
"1982","Crude Oil",825511.143293863,"US","United States"
"1982","Geothermal",2282.68549195077,"US","United States"
"1982","Hydro",147237.012882796,"US","United States"
"1982","Natural Gas",461433.515693808,"US","United States"
"1982","Nuclear",141176.776536337,"US","United States"
"1982","Other",120089.366060935,"US","United States"
"1982","Solar",NA,"US","United States"
"1982","Total",2999545.83312386,"US","United States"
"1982","Total Renewable",269609.019347825,"US","United States"
"1982","Wind",NA,"US","United States"
"1983","Coal",777615.439754048,"US","United States"
"1983","Conventional thermal",2451344.37703391,"US","United States"
"1983","Crude Oil",829246.582089718,"US","United States"
"1983","Geothermal",2881.58749954708,"US","United States"
"1983","Hydro",159036.572751874,"US","United States"
"1983","Natural Gas",422241.143779177,"US","United States"
"1983","Nuclear",144396.072086543,"US","United States"
"1983","Other",130953.826314976,"US","United States"
"1983","Solar",NA,"US","United States"
"1983","Total",2888613.63051506,"US","United States"
"1983","Total Renewable",292873.2490264,"US","United States"
"1983","Wind",1.23991607384615,"US","United States"
"1984","Coal",889097.1957107,"US","United States"
"1984","Conventional thermal",2651580.4527529,"US","United States"
"1984","Crude Oil",849826.663995559,"US","United States"
"1984","Geothermal",3643.54974281846,"US","United States"
"1984","Hydro",152658.985522297,"US","United States"
"1984","Natural Gas",456328.341611175,"US","United States"
"1984","Nuclear",160176.010535882,"US","United States"
"1984","Other",133961.411831554,"US","United States"
"1984","Solar",2.47983214769231,"US","United States"
"1984","Total",3102025.8885601,"US","United States"
"1984","Total Renewable",290269.447815252,"US","United States"
"1984","Wind",3.06597429169231,"US","United States"
"1985","Coal",871330.325568916,"US","United States"
"1985","Conventional thermal",2592629.43205938,"US","United States"
"1985","Crude Oil",856326.912740733,"US","United States"
"1985","Geothermal",4392.48159535015,"US","United States"
"1985","Hydro",133919.615387902,"US","United States"
"1985","Natural Gas",432486.051787009,"US","United States"
"1985","Nuclear",183758.402679006,"US","United States"
"1985","Other",135995.505422663,"US","United States"
"1985","Solar",4.982208224,"US","United States"
"1985","Total",3050702.98936039,"US","United States"
