"year","type","GWh","country","country_name"
"1999","Crude Oil",561390.894246026,"US","United States"
"1999","Geothermal",7706.46164574031,"US","United States"
"1999","Hydro",147327.932546902,"US","United States"
"1999","Natural Gas",491765.785503664,"US","United States"
"1999","Nuclear",343130.090929748,"US","United States"
"1999","Other",133691.448286385,"US","United States"
"1999","Solar",2978.70674402215,"US","United States"
"1999","Total",3232151.90181632,"US","United States"
"1999","Total Renewable",293773.924062442,"US","United States"
"1999","Wind",2069.28466367754,"US","United States"
"2000","Coal",1025094.00868122,"US","United States"
"2000","Conventional thermal",2583830.58180865,"US","United States"
"2000","Crude Oil",557200.225899641,"US","United States"
"2000","Geothermal",7410.82056587815,"US","United States"
"2000","Hydro",126747.21941106,"US","United States"
"2000","Natural Gas",500768.173613895,"US","United States"
"2000","Nuclear",354496.536842267,"US","United States"
"2000","Other",135518.791508162,"US","United States"
"2000","Solar",2861.72629843692,"US","United States"
"2000","Total",3213438.14158483,"US","United States"
"2000","Total Renewable",275111.068021767,"US","United States"
"2000","Wind",2572.62295787323,"US","United States"
"2001","Coal",1061687.31360972,"US","United States"
"2001","Conventional thermal",2636951.85528187,"US","United States"
"2001","Crude Oil",553749.471834341,"US","United States"
"2001","Geothermal",7415.17154410092,"US","United States"
"2001","Hydro",101080.595979586,"US","United States"
"2001","Natural Gas",510757.51237498,"US","United States"
"2001","Nuclear",362003.777790833,"US","United States"
"2001","Other",118317.886694267,"US","United States"
"2001","Solar",2780.74850685046,"US","United States"
"2001","Total",3231688.93969827,"US","United States"
"2001","Total Renewable",232733.216449854,"US","United States"
"2001","Wind",3138.85881290585,"US","United States"
"2002","Coal",1024947.85639201,"US","United States"
"2002","Conventional thermal",2559940.23960064,"US","United States"
"2002","Crude Oil",548277.925095815,"US","United States"
"2002","Geothermal",7717.41799504738,"US","United States"
"2002","Hydro",121242.059674969,"US","United States"
"2002","Natural Gas",493357.206512481,"US","United States"
"2002","Nuclear",367259.917291439,"US","United States"
"2002","Other",121980.982023195,"US","United States"
"2002","Solar",2704.41476455877,"US","United States"
"2002","Total",3185594.27061554,"US","United States"
"2002","Total Renewable",258394.09117953,"US","United States"
"2002","Wind",4749.30689747446,"US","United States"
"2003","Coal",996155.40453837,"US","United States"
"2003","Conventional thermal",2524134.70971369,"US","United States"
"2003","Crude Oil",539231.317069605,"US","United States"
"2003","Geothermal",7820.24085346215,"US","United States"
"2003","Hydro",125909.622287284,"US","United States"
"2003","Natural Gas",494373.960236964,"US","United States"
"2003","Nuclear",358882.30034689,"US","United States"
"2003","Other",126461.384940145,"US","United States"
"2003","Solar",2634.52858585108,"US","United States"
"2003","Total",3150950.11375514,"US","United States"
"2003","Total Renewable",267933.081150629,"US","United States"
"2003","Wind",5107.23685210092,"US","United States"
"2004","Coal",1030352.19967933,"US","United States"
"2004","Conventional thermal",2519690.69269752,"US","United States"
"2004","Crude Oil",520768.628571106,"US","United States"
"2004","Geothermal",8032.26650208985,"US","United States"
"2004","Hydro",121217.238809563,"US","United States"
"2004","Natural Gas",484284.977311399,"US","United States"
"2004","Nuclear",370747.260152881,"US","United States"
"2004","Other",135084.009300886,"US","United States"
"2004","Solar",2632.02620977477,"US","United States"
"2004","Total",3163790.7747916,"US","United States"
"2004","Total Renewable",273352.844485125,"US","United States"
"2004","Wind",6387.30366281108,"US","United States"
"2005","Coal",1045370.4915004,"US","United States"
"2005","Conventional thermal",2479620.32493904,"US","United States"
"2005","Crude Oil",494800.998604761,"US","United States"
"2005","Geothermal",8147.46597731446,"US","United States"
"2005","Hydro",121869.840455121,"US","United States"
"2005","Natural Gas",469724.406144973,"US","United States"
"2005","Nuclear",367953.458711362,"US","United States"
"2005","Other",139825.83161406,"US","United States"
"2005","Solar",2610.31640651815,"US","United States"
"2005","Total",3128056.77679014,"US","United States"
"2005","Total Renewable",280483.083315456,"US","United States"
"2005","Wind",8029.58377458461,"US","United States"
"2006","Coal",1072618.05301389,"US","United States"
"2006","Conventional thermal",2519360.98774152,"US","United States"
"2006","Crude Oil",485450.836579744,"US","United States"
"2006","Geothermal",8169.91973021538,"US","United States"
"2006","Hydro",129358.617926151,"US","United States"
"2006","Natural Gas",480646.105433769,"US","United States"
"2006","Nuclear",370379.906836094,"US","United States"
"2006","Other",144800.307270545,"US","United States"
"2006","Solar",2739.335309984,"US","United States"
"2006","Total",3186700.45610484,"US","United States"
"2006","Total Renewable",296959.606615082,"US","United States"
"2006","Wind",11891.3362024714,"US","United States"
"2007","Coal",1059237.41979922,"US","United States"
"2007","Conventional thermal",2541562.5191691,"US","United States"
"2007","Crude Oil",484308.806243946,"US","United States"
"2007","Geothermal",8376.15158918892,"US","United States"
"2007","Hydro",110302.415418996,"US","United States"
"2007","Natural Gas",499008.191650821,"US","United States"
"2007","Nuclear",381379.698293612,"US","United States"
"2007","Other",156548.602245952,"US","United States"
"2007","Solar",2958.66519148308,"US","United States"
"2007","Total",3216480.62510291,"US","United States"
"2007","Total Renewable",293538.52035984,"US","United States"
"2007","Wind",15352.5506506486,"US","United States"
"2008","Coal",1075407.03005468,"US","United States"
"2008","Conventional thermal",2593762.51245552,"US","United States"
"2008","Crude Oil",478531.090410895,"US","United States"
"2008","Geothermal",8676.39163048862,"US","United States"
"2008","Hydro",113220.501538971,"US","United States"
"2008","Natural Gas",519912.207266937,"US","United States"
"2008","Nuclear",379932.44570829,"US","United States"
"2008","Other",174411.126276852,"US","United States"
"2008","Solar",3345.83462152369,"US","United States"
"2008","Total",3297946.33493639,"US","United States"
"2008","Total Renewable",324251.444404367,"US","United States"
"2008","Wind",24597.5677926031,"US","United States"
"2009","Coal",974967.245245986,"US","United States"
"2009","Conventional thermal",2552493.48401255,"US","United States"
"2009","Crude Oil",511301.936979077,"US","United States"
"2009","Geothermal",9025.93524367015,"US","United States"
"2009","Hydro",120331.532942122,"US","United States"
"2009","Natural Gas",533112.117077852,"US","United States"
"2009","Nuclear",376718.966491668,"US","United States"
"2009","Other",178395.404956763,"US","United States"
"2009","Solar",3524.90104651569,"US","United States"
"2009","Total",3273004.25082669,"US","United States"
"2009","Total Renewable",343791.890498181,"US","United States"
"2009","Wind",32514.1388530388,"US","United States"
"2010","Coal",993656.387507426,"US","United States"
"2010","Conventional thermal",2622277.7641629,"US","United States"
"2010","Crude Oil",523491.303917844,"US","United States"
"2010","Geothermal",9377.30491506954,"US","United States"
"2010","Hydro",114457.351638526,"US","United States"
"2010","Natural Gas",552565.058912746,"US","United States"
"2010","Nuclear",380290.533470417,"US","United States"
"2010","Other",205263.89031058,"US","United States"
"2010","Solar",4115.75487159631,"US","United States"
"2010","Total",3377418.01173992,"US","United States"
"2010","Total Renewable",374849.714106594,"US","United States"
"2010","Wind",41635.3447390375,"US","United States"
"2011","Coal",1001915.62628282,"US","United States"
"2011","Conventional thermal",2728479.59677426,"US","United States"
"2011","Crude Oil",540942.919761871,"US","United States"
"2011","Geothermal",9572.62551259323,"US","United States"
"2011","Hydro",139900.993072064,"US","United States"
"2011","Natural Gas",592810.525364788,"US","United States"
"2011","Nuclear",372817.897452276,"US","United States"
"2011","Other",212107.75361571,"US","United States"
"2011","Solar",5069.16015666954,"US","United States"
"2011","Total",3520594.25439301,"US","United States"
"2011","Total Renewable",419296.760166471,"US","United States"
"2011","Wind",52646.2052655065,"US","United States"
"2012","Coal",932276.82210382,"US","United States"
"2012","Conventional thermal",2808566.99335613,"US","United States"
"2012","Crude Oil",624101.588458656,"US","United States"
"2012","Geothermal",9540.25243110154,"US","United States"
"2012","Hydro",118522.563022166,"US","United States"
"2012","Natural Gas",626094.313940756,"US","United States"
"2012","Nuclear",363490.256811946,"US","United States"
"2012","Other",205001.163366496,"US","United States"
"2012","Solar",7167.18832933169,"US","United States"
"2012","Total",3572708.76110212,"US","United States"
"2012","Total Renewable",400651.488390117,"US","United States"
"2012","Wind",60420.411416736,"US","United States"
"2013","Coal",901815.939181213,"US","United States"
"2013","Conventional thermal",2893595.07224549,"US","United States"
"2013","Crude Oil",715321.312254373,"US","United States"
"2013","Geothermal",9649.09451845662,"US","United States"
"2013","Hydro",115532.291242764,"US","United States"
"2013","Natural Gas",638228.944220844,"US","United States"
"2013","Nuclear",371723.795508714,"US","United States"
"2013","Other",217126.505547995,"US","United States"
"2013","Solar",10123.3060568812,"US","United States"
"2013","Total",3689952.00126322,"US","United States"
"2013","Total Renewable",424633.043333305,"US","United States"
"2013","Wind",72201.8459672074,"US","United States"
"2014","Coal",914638.99340943,"US","United States"
"2014","Conventional thermal",3138836.20134544,"US","United States"
"2014","Crude Oil",838955.868897578,"US","United States"
"2014","Geothermal",9670.87195349908,"US","United States"
"2014","Hydro",111212.64908077,"US","United States"
"2014","Natural Gas",692620.669519218,"US","United States"
"2014","Nuclear",375922.669845115,"US","United States"
"2014","Other",226357.522910279,"US","United States"
"2014","Solar",15219.1131371742,"US","United States"
"2014","Total",3955110.26296023,"US","United States"
"2014","Total Renewable",440351.346681809,"US","United States"
"2014","Wind",77891.1445122289,"US","United States"
"2015","Coal",809150.99175375,"US","United States"
"2015","Conventional thermal",3165213.25159937,"US","United States"
"2015","Crude Oil",888773.84814257,"US","United States"
"2015","Geothermal",9551.20878040861,"US","United States"
"2015","Hydro",104656.942271202,"US","United States"
"2015","Natural Gas",733644.250939385,"US","United States"
"2015","Nuclear",375892.325717199,"US","United States"
"2015","Other",225059.578764177,"US","United States"
"2015","Solar",19246.4958085982,"US","United States"
"2015","Total",3979754.76721221,"US","United States"
"2015","Total Renewable",438649.167351705,"US","United States"
"2015","Wind",80134.9642712468,"US","United States"
"2016","Coal",661307.592279057,"US","United States"
"2016","Conventional thermal",2950784.3525495,"US","United States"
"2016","Crude Oil",835807.879793583,"US","United States"
"2016","Geothermal",9450.59522699815,"US","United States"
"2016","Hydro",111477.0668195,"US","United States"
"2016","Natural Gas",726834.462782357,"US","United States"
"2016","Nuclear",379944.236182956,"US","United States"
"2016","Other",228814.653321856,"US","United States"
"2016","Solar",25716.693496928,"US","United States"
"2016","Total",3800673.62103482,"US","United States"
"2016","Total Renewable",469944.942126654,"US","United States"
"2016","Wind",94485.8881735138,"US","United States"
"2017","Coal",704514.767352945,"US","United States"
"2017","Conventional thermal",3087507.64361965,"US","United States"
"2017","Crude Oil",882629.906189162,"US","United States"
"2017","Geothermal",9478.93294526769,"US","United States"
"2017","Hydro",124756.590514321,"US","United States"
"2017","Natural Gas",750181.485038772,"US","United States"
"2017","Nuclear",379593.227214415,"US","United States"
"2017","Other",229891.599335742,"US","United States"
"2017","Solar",35037.0749922437,"US","United States"
"2017","Total",3971901.04862475,"US","United States"
"2017","Total Renewable",504800.132702828,"US","United States"
"2017","Wind",105635.934915254,"US","United States"
"2018","Coal",692704.702013132,"US","United States"
"2018","Conventional thermal",3417991.35708974,"US","United States"
"2018","Crude Oil",1029571.99939781,"US","United States"
"2018","Geothermal",9417.252756576,"US","United States"
"2018","Hydro",120075.185929836,"US","United States"
"2018","Natural Gas",847857.350383327,"US","United States"
"2018","Nuclear",380454.405287522,"US","United States"
"2018","Other",236192.041241598,"US","United States"
"2018","Solar",41278.5645247705,"US","United States"
"2018","Total",4317333.30300077,"US","United States"
"2018","Total Renewable",518887.472991724,"US","United States"
"2018","Wind",111924.49617073,"US","United States"
"2019","Coal",642761.784315754,"US","United States"
"2019","Conventional thermal",3667396.05673389,"US","United States"
"2019","Crude Oil",1148526.16593332,"US","United States"
"2019","Geothermal",9074.78793697969,"US","United States"
"2019","Hydro",115570.435569982,"US","United States"
"2019","Natural Gas",938054.053242406,"US","United States"
"2019","Nuclear",381075.896311591,"US","United States"
"2019","Other",229958.960594444,"US","United States"
"2019","Solar",45900.0022591385,"US","United States"
"2019","Total",4567370.04422758,"US","United States"
"2019","Total Renewable",518898.046094245,"US","United States"
"2019","Wind",118393.747014058,"US","United States"
"2020","Coal",264567.038151494,"US","United States"
"2020","Conventional thermal",1854826.24109875,"US","United States"
"2020","Crude Oil",577977.38908383,"US","United States"
"2020","Geothermal",5191.1385912288,"US","United States"
"2020","Hydro",64300.52587448,"US","United States"
"2020","Natural Gas",506140.877624603,"US","United States"
"2020","Nuclear",201452.336448541,"US","United States"
"2020","Other",115219.690365405,"US","United States"
"2020","Solar",31868.4311408512,"US","United States"
"2020","Total",2343722.27466539,"US","United States"
"2020","Total Renewable",287443.609196778,"US","United States"
"2020","Wind",70863.8818390272,"US","United States"
